path,team,score
fan/maillots-fan (117).jpeg,Real Madrid,0.3533935546875
fan/maillots-fan (118).jpeg,Vasco da Gama,0.3463709056377411
fan/maillots-fan (119).jpeg,Club América,0.4137927293777466
fan/maillots-fan (12).jpeg,Mexico,0.4099275767803192
fan/maillots-fan (120).jpeg,Japan,0.3584156334400177
fan/maillots-fan (121).jpeg,Club América,0.4137927293777466
fan/maillots-fan (122).jpeg,Milan,0.35414227843284607
fan/maillots-fan (123).jpeg,Paris Fc,0.36550572514533997
fan/maillots-fan (124).jpeg,Qatar,0.3562183678150177
fan/maillots-fan (125).jpeg,Corinthians,0.3701076805591583
fan/maillots-fan (126).jpeg,Corinthians,0.3505711555480957
fan/maillots-fan (127).jpeg,El Salvador,0.36040112376213074
fan/maillots-fan (128).jpeg,FC Barcelone,0.3530798554420471
fan/maillots-fan (129).jpeg,Manchester United,0.3519739508628845
fan/maillots-fan (13).jpeg,Los Angeles Galaxy,0.3554668128490448
fan/maillots-fan (130).jpeg,England,0.3589208126068115
fan/maillots-fan (131).jpeg,New Zealand,0.3254155218601227
fan/maillots-fan (132).jpeg,Italy,0.3607940375804901
fan/maillots-fan (133).jpeg,RB Leipzig,0.3982771039009094
fan/maillots-fan (134).jpeg,Italy,0.3607940375804901
fan/maillots-fan (135).jpeg,Fulham FC,0.3721567690372467
fan/maillots-fan (136).jpeg,Portimonense,0.369213730096817
fan/maillots-fan (137).jpeg,Netherlands,0.39812564849853516
fan/maillots-fan (138).jpeg,PSG,0.3593480587005615
fan/maillots-fan (139).jpeg,Al-Ittihad Club (Jeddah),0.36444154381752014
fan/maillots-fan (14).jpeg,Serbia,0.3548031449317932
fan/maillots-fan (140).jpeg,CR Flamengo,0.34095245599746704
fan/maillots-fan (141).jpeg,Real Madrid,0.35076916217803955
fan/maillots-fan (142).jpeg,Everton FC,0.3738223910331726
fan/maillots-fan (143).jpeg,Italy,0.3858473300933838
fan/maillots-fan (144).jpeg,Metz,0.3655538856983185
fan/maillots-fan (145).jpeg,Barcelona,0.3525112271308899
fan/maillots-fan (146).jpeg,Orlando City SC,0.3369150161743164
fan/maillots-fan (147).jpeg,Barcelona,0.3525112271308899
fan/maillots-fan (148).jpeg,Moreirense,0.3676447570323944
fan/maillots-fan (149).jpeg,Newcastle,0.36223989725112915
fan/maillots-fan (15).jpeg,Inter,0.34185776114463806
fan/maillots-fan (150).jpeg,Bulgaria,0.37317121028900146
fan/maillots-fan (151).jpeg,Manchester United,0.3367741107940674
fan/maillots-fan (152).jpeg,Santos,0.35305723547935486
fan/maillots-fan (153).jpeg,England,0.3484835624694824
fan/maillots-fan (154).jpeg,Corinthians,0.3458816111087799
fan/maillots-fan (155).jpeg,Wolverhampton Wanderers,0.34387707710266113
fan/maillots-fan (156).jpeg,Brazil,0.36604660749435425
fan/maillots-fan (157).jpeg,Burkina Faso,0.3846805691719055
fan/maillots-fan (158).jpeg,Portimonense,0.34182286262512207
fan/maillots-fan (159).jpeg,Japan,0.28061360120773315
fan/maillots-fan (16).jpeg,Inter Miami CF,0.3409183919429779
fan/maillots-fan (160).jpeg,Portimonense,0.34182286262512207
fan/maillots-fan (161).jpeg,SS Lazio,0.3809426426887512
fan/maillots-fan (162).jpeg,United States,0.37745001912117004
fan/maillots-fan (163).jpeg,Al Ittihad,0.37759140133857727
fan/maillots-fan (164).jpeg,Bahamas,0.33924299478530884
fan/maillots-fan (165).jpeg,Juventus FC,0.3601897060871124
fan/maillots-fan (166).jpeg,Allemagne,0.3805694580078125
fan/maillots-fan (167).jpeg,Los Angeles Galaxy,0.36312079429626465
fan/maillots-fan (168).jpeg,Forest,0.31698355078697205
fan/maillots-fan (169).jpeg,Philippines,0.3461857736110687
fan/maillots-fan (17).jpeg,Famalicão,0.36158284544944763
fan/maillots-fan (170).jpeg,Atlanta United,0.31661882996559143
fan/maillots-fan (171).jpeg,Beşiktaş JK,0.34642839431762695
fan/maillots-fan (172).jpeg,Marseille,0.3792278468608856
fan/maillots-fan (173).jpeg,Beşiktaş JK,0.34642839431762695
fan/maillots-fan (174).jpeg,Juventus FC,0.3798762261867523
fan/maillots-fan (175).jpeg,Celta Vigo,0.3526940941810608
fan/maillots-fan (176).jpeg,Syrie,0.36252856254577637
